org_name,org_id,org_address,std_state,geo_lat,geo_lon,Organization Type,Subtype,state
"Caris College, Llc",78b98ad7,2780 JEFFERSON CENTRE WAY SUITE 103 JEFFERSONVILLE IN 47130,IN,38.326445,-85.7102003,WIOA-eligible,NA,Indiana
"University Of Wisconsin-River Falls, Continuing Education",34dbe9f8,"410 S 3RD ST, RIVER FALLS, WI, 54022",WI,44.8547858,-92.6230366,WIOA-eligible,NA,Wisconsin
Plumbing Heating Cooling Contractors Alameda Contra Costa C,2772c042,"135 LINDBERGH AVE, LIVERMORE, CA, 94551",CA,37.6980894,-121.80879470000001,Non-profit organization,Job training non-profit,California
Stone Academy-West Haven,73e6c4b3,"560 SAW MILL RD, W HAVEN, CT, 06516",CT,41.2675182,-72.9769045,Higher education institution,Highest degree certificate,Connecticut
National Aerospace Education Center,3327df4b,PO BOX 1301 TULLAHOMA TN 37388-1301,TN,35.3620235,-86.2094342,Non-profit organization,Job training non-profit,Tennessee
Bennett Career Institute,e6f42d11,"700 MONROE ST NE, WASHINGTON, DC, 20017",DC,38.9326114,-76.9959422,Higher education institution,Highest degree certificate,NA
Futureworks Inc,70073231,"95 LIBERTY ST, SPRINGFIELD, MA, 01103",MA,42.1071622,-72.5944138,Non-profit organization,Job training non-profit,Massachusetts
Middlesex County College - Career Training Center,0cb5a065,2600 WOODBRIDGE AVENUE 08818 EDISON NJ 8818,NJ,40.5082704,-74.371293,WIOA-eligible,NA,New Jersey
Ross Medical Education Center,c505bbb4,"227 N GREEN RIVER RD, EVANSVILLE, IN, 47715",IN,37.9786386,-87.490534,WIOA-eligible,NA,Indiana
Nwpa Ntma,1cb4ebd4,PO BOX 203 MEADVILLE PA 16335,PA,41.6414438,-80.1514484,Registered apprenticeship,NA,Pennsylvania
Hero Agriculture Inc,f0843724,"1392 ROLAND HAYES PKWY SW, CALHOUN, GA, 30701",GA,34.5001538,-84.9976961,Non-profit organization,Job training non-profit,Georgia
Kaplan Financial Institute- D,ba18158c,"2200 S MONACO PKWY, DENVER, CO, 80222",CO,39.6763761,-104.9110533,WIOA-eligible,NA,Colorado
Lifecareerpivoteers Inc,cd0f034a,9805B YORK ROAD 128 COCKEYSVILLE MD 21030-4913,MD,39.458807,-76.6335773,Non-profit organization,Job training non-profit,Maryland
Chesapeake Marine Trading Institute,8daffa15,PO BOX 1153  HAYES VA 23072,VA,37.2775719,-76.5038915,WIOA-eligible,NA,Virginia
Peregrine Technical Solutions Llc,cbe9c58c,"3025 CLINTON DR, JUNEAU, AK, 99801",AK,58.3719866,-134.5993295,WIOA-eligible,Apprenticeship sponsor / other,Alaska
Man-Tra-Con Corporation,513f25ab,"3117 CIVIC CIRCLE BLVD, MARION, IL, 62959",IL,37.7498995,-88.9810605,Registered apprenticeship,NA,Illinois
Persevere,2dea5a87,"4147 WILLOW LAKE BLVD, MEMPHIS, TN, 38118",TN,35.0362499,-89.8898849,Registered apprenticeship,NA,Tennessee
Carrington College-Pleasant Hill Campus,3a6f52a5,"380 CIVIC DR, PLEASANT HILL, CA, 94523",CA,37.9623332,-122.0720616,Higher education institution,NA,California
Se Wi Area Steam Fitting Jac,34753203,MILWAUKEE WI 53227,WI,42.9980102,-88.0460894,Registered apprenticeship,NA,Wisconsin
Collectiv Academy,0f9f3fb3,"10301 S 1300 E, SANDY, UT, 84094",UT,40.5644454,-111.8515877,Higher education institution,Highest degree certificate,Utah
Facez Of Hope Corporation,64b10780,"12211 KINGSFORD CT, MITCHELLVILLE, MD, 20721",MD,38.9054321,-76.7928657,Non-profit organization,Job training non-profit,Maryland
Natf,b77546e1,P.O.BOX 537 ARKADELPHIA AR 71923,AR,34.120994,-93.053544,Registered apprenticeship,NA,Arkansas
Indianapolis Electricians,cf55460a,"1751 S LAWNDALE AVE, INDIANAPOLIS, IN, 46241",IN,39.7412772,-86.2632474,Registered apprenticeship,NA,Indiana
Vaya Con Dios,4485726,1705 E HIGHWAY 62 FORT GIBSON OK 74434-7726,OK,35.7973494,-95.1783,Non-profit organization,Job training non-profit,Oklahoma
Journey Medical Training Center,df60ed58,"8668 JOHN HICKMAN PKWY SUITE 602,, FRISCO TX 75034",TX,33.1137466,-96.807922,WIOA-eligible,NA,Texas
Jit 21st Century Inc,53356946,"10800 GOSLING RD, SPRING, TX, 77381",TX,30.1660626,-95.507777,Non-profit organization,Job training non-profit,Texas
Brittany Beauty Academy,db53dee8,"29 W 36TH ST, NEW YORK, NY, 10018",NY,40.7505665,-73.985069,Higher education institution,Highest degree certificate,New York
Given Chance Nfp,2373c7b9,"601 E 87TH ST, CHICAGO, IL, 60619",IL,41.7363914,-87.609516,Non-profit organization,Job training non-profit,Illinois
Bridge To Success,f81955c9,"2208 W CHICAGO AVE, CHICAGO, IL, 60622",IL,41.8960496,-87.6824093,Non-profit organization,Job training non-profit,Illinois
Denver Pipefitters Jatc,e371430d,"6350 BROADWAY ST, DENVER, CO, 80216",CO,39.8016603,-104.9872516,Registered apprenticeship,NA,Colorado
Amilynn Embrace Inc,cb6b7b67,"2868 NW 115TH PL, OKLAHOMA CITY, OK, 73120",OK,35.5878675,-97.5664739,Non-profit organization,Job training non-profit,Oklahoma
Milwaukee Area Technical College,d32dcf94,"700 W STATE ST, MILWAUKEE, WI, 53233",WI,43.0433865,-87.9208399,Multiple types,NA,Wisconsin
Contra Costa Co. Plumbing And Pipe Fitting Jatc,ded9d89b,"1308 ROMAN WAY, MARTINEZ, CA, 94553",CA,37.9926251,-122.108902,Registered apprenticeship,NA,California
"Digital Workshop Center, Fort Collins, Co",8df09625,"324 REMINGTON ST, FORT COLLINS, CO, 80524",CO,40.5833174,-105.0750347,WIOA-eligible,NA,Colorado
"Allegheny County Jatc Of The Heating, Piping And Air Conditioning",e4eb6c73,"230 WISE RD, HARMONY, PA, 16037",PA,40.8106588,-80.1248006,Registered apprenticeship,NA,Pennsylvania
"South Bay Workforce Investment Board, Inc",9787c681,11539 HAWTHORNE BLVD HAWTHORNE CA 90250,CA,33.9294503,-118.3534542,Registered apprenticeship,NA,California
Libertad Group,437232af,"22 MARY ST, ROSSVILLE, GA, 30741",GA,34.9474058,-85.2916914,Non-profit organization,Job training non-profit,Georgia
Brewster Technical Center-Vs,fa7d7f5e,2222 N ST  TAMPA FL 33602,FL,28.0037176,-82.3894008,WIOA-eligible,NA,Florida
Lehigh Carbon Community College,940d2ea9,"234 HIGH ST, TAMAQUA, PA, 18252",PA,40.7949296,-75.9751702,WIOA-eligible,NA,Pennsylvania
Papais Garden Inc,30a8ac8d,7647 270TH ST NEW HYDE PARK NY 11040-1417,NY,40.7525054,-73.7052613,Non-profit organization,Job training non-profit,New York
Latrobe And Vicinity Plumbers/Pipefitters Local 354,086586f2,P O BOX 354 YOUNGWOOD PA 15697,PA,40.240079,-79.5772008,Registered apprenticeship,NA,Pennsylvania
Fish Out Of Water Career Development Center Inc,1e5f38b6,"8003 GAELIC DR, FAYETTEVILLE, NC, 28306",NC,35.0031231,-79.0496527,Non-profit organization,Job training non-profit,North Carolina
Northampton County Area Community College,40842207,"3835 GREEN POND RD, BETHLEHEM, PA, 18020",PA,40.6757668,-75.3277121,Higher education institution,NA,Pennsylvania
Platt College-Arizona Automotive Institute Arizona,982f1717,"6829 N 46TH AVE, GLENDALE, AZ, 85301",AZ,33.5372422,-112.1573867,Higher education institution,Highest degree certificate,Arizona
Washington Women In Trades Association,4b51617f,PO BOX 24972 SEATTLE WA 98124-0972,WA,47.61,-122.33,Non-profit organization,Job training non-profit,Washington
First Class Cosmetology School,a00f11f1,"306 STATE ST, BELOIT, WI, 53511",WI,42.4989833,-89.0361145,Higher education institution,Highest degree certificate,Wisconsin
Salt Lake City Bicycle Collective,d4a9ac10,"2312 S WEST TEMPLE, S SALT LAKE, UT, 84115",UT,40.7205541,-111.8943174,Non-profit organization,Job training non-profit,Utah
Trinity Evangelical Bible Seminary,63cd47c0,"4139 KEWANEE ST, HOUSTON, TX, 77051",TX,29.6639211,-95.3663153,Non-profit organization,Job training non-profit,Texas
Nfostem Ventures,00f59d7b,4 EMBARCADERO CTR STE 1400 SAN FRANCISCO CA 94111-4164,CA,37.7950309,-122.3966415,Non-profit organization,Job training non-profit,California
Plumbers And Steamfitters Local Union N. 486 Jatc,feeca7a6,"1201 66TH ST, BALTIMORE, MD, 21237",MD,39.3107365,-76.524141,Registered apprenticeship,NA,Maryland
Moraine Park Technical College,b00565a2,"235 N NATIONAL AVE, FOND DU LAC, WI, 54935",WI,43.7891705,-88.4219481,Higher education institution,NA,Wisconsin
Parvaz Inc,d50de29d,"955 ESCALON AVE, SUNNYVALE, CA, 94085",CA,37.388688,-122.0439912,Non-profit organization,Job training non-profit,California
J And S Reliance Driving School,0cd8a75b,9807 ASTORIA BLVD  EAST ELMHURST EAST ELMHURST NY 11369,NY,40.762556,-73.8710798,WIOA-eligible,NA,New York
"Topqm-Systems North America, Llc",b5ede5c3,"313 OLIVARRI DR, ANDERSON, SC, 29621",SC,34.5286218,-82.6082837,WIOA-eligible,NA,South Carolina
Central Florida Electrical Jatc,7fb44395,"2738 FORSYTH RD, WINTER PARK, FL, 32792",FL,28.5843875,-81.296054,Registered apprenticeship,NA,Florida
Mountain State College,6f32f32e,"1508 SPRING ST, PARKERSBURG, WV, 26101",WV,39.2737948,-81.5488228,Multiple types,NA,West Virginia
Second Chance Training And Resource Center,b510e43d,"1878 CAROLINA TOWNE CT, MOUNT PLEASANT, SC, 29464",SC,32.8286196,-79.8275504,Non-profit organization,Job training non-profit,South Carolina
Juniusjames Incorporated,a5adbae4,"5643 N 65TH ST, MILWAUKEE, WI, 53218",WI,43.1204691,-87.9925936,Non-profit organization,Job training non-profit,Wisconsin
Colorado Carpenters And Affiliated Trades Jatc,98a35c89,"4290 HOLLY ST, DENVER, CO, 80216",CO,39.7761593,-104.921638,Registered apprenticeship,NA,Colorado
Salish Kootenai College,7d896705,58138 US  HIGHWAY 93 PABLO MT 59855,MT,47.5974854,-114.1117964,Higher education institution,Highest degree bachelor’s+,Montana
Spencerian College,3207289,"3101 BARDSTOWN RD, LOUISVILLE, KY, 40205",KY,38.2131622,-85.6703497,WIOA-eligible,NA,Kentucky
Roane State Community College,4a256a72,"701 BRIARCLIFF AVE, OAK RIDGE, TN, 37830",TN,36.022704,-84.2316667,Registered apprenticeship,NA,Tennessee
Northwest Vista College,8877e6f1,"3535 N ELLISON DR, SAN ANTONIO, TX, 78251",TX,29.472379,-98.7065206,Higher education institution,NA,Texas
Reform 620,3a709d67,"1706 WASHINGTON VALLEY DR, STEWARTSVILLE, NJ, 08886",NJ,40.6869299,-75.1347677,Non-profit organization,Job training non-profit,New Jersey
Harrisburg Area Community College,ddaf85a4,"58 NEITZ RD, NORTHUMBERLAND, PA, 17857",PA,40.9093451,-76.792026,WIOA-eligible,NA,Pennsylvania
Jctc,363373a5,"109 E BROADWAY, LOUISVILLE, KY, 40202",KY,38.2460968,-85.752605,WIOA-eligible,NA,Kentucky
"Electricians Jatc, Lorain County",cfd3449e,"2235 W PARK DR, LORAIN, OH, 44053",OH,41.4454925,-82.2118873,Registered apprenticeship,NA,Ohio
Smacna Northern Illinois Sheet Metal Workers Local 219 Training F,afcf5ffc,4081 N PERRYVILLE RD LOVES PARK IL 61111-8653,IL,42.3202082,-88.9823002,Non-profit organization,Job training non-profit,Illinois
"Strategic Workforces Development, Inc Pre-Ra",a3a54e29,"111 W 10TH ST, KANSAS CITY, MO, 64105",MO,39.1019661,-94.5847318,WIOA-eligible,NA,Missouri
Rackspace Cloud Academy,1acd5c64,"1 FANATICAL PL,, SAN ANTONIO TX 78218",TX,29.5074347,-98.3934106,WIOA-eligible,NA,Texas
Royal Learning Institute,f639d416,"254 W 29TH ST, NEW YORK, NY, 10001",NY,40.7486889,-73.995309,Higher education institution,Highest degree certificate,New York
Gateway Global American Youth And Business Alliance,89c3413a,"911 WASHINGTON AVE, SAINT LOUIS, MO, 63101",MO,38.6313709,-90.1932113,Registered apprenticeship,NA,Missouri
From Me 2 U Inc,9409d237,"13125 SHAKER SQ, CLEVELAND, OH, 44120",OH,41.4846908,-81.5908921,Non-profit organization,Job training non-profit,Ohio
West Central Wisconsin Workforce Development Board Inc,21b20f41,"401 TECHNOLOGY DR E, MENOMONIE, WI, 54751",WI,44.8823429,-91.8961557,Non-profit organization,Job training non-profit,Wisconsin
Lodi Pupil Personnel Association Inc,54277ce9,"1305 E VINE ST, LODI, CA, 95240",CA,38.1238225,-121.2486086,Non-profit organization,Job training non-profit,California
Academy Of Management Inc,651767fb,"555 PLEASANTVILLE RD, BRIARCLIFF, NY, 10510",NY,41.1395644,-73.8118551,Non-profit organization,Job training non-profit,New York
William T. Mcfatter Technical Center-Vs,af6b316e,"6500 NOVA DR, FORT LAUDERDALE, FL, 33317",FL,26.0854965,-80.2313471,WIOA-eligible,NA,Florida
Springhouse Computer School Inc,c1e66c9a,"707 EAGLEVIEW BLVD, EXTON, PA, 19341",PA,40.0659599,-75.6761552,WIOA-eligible,NA,Pennsylvania
Greater Chicago Development Group,5198c9b5,2150 S CANALPORT 4C-10 CHICAGO IL 60608-4597,IL,41.8532358,-87.6501574,Non-profit organization,Job training non-profit,Illinois
Florida Professional Institute,1abdc005,7951 SW 40 STREET SUITE 217 MIAMI FL 33155-6752,FL,25.7336085,-80.3248793,Higher education institution,Highest degree certificate,Florida
Seneca Street Community Development Corporation,74781aad,"1218 SENECA ST, BUFFALO, NY, 14210",NY,42.8704631,-78.8333295,Non-profit organization,Job training non-profit,New York
Louisiana Commercial And Charter Restoration Corporation,8278779,"224 LAUREL CT, LULING, LA, 70070",LA,29.8898803,-90.3467074,Non-profit organization,Job training non-profit,Louisiana
Veterans Transition Support,6802c52a,"334 VIA VERA CRUZ, SAN MARCOS, CA, 92078",CA,33.1367769,-117.1895669,Non-profit organization,Job training non-profit,California
Truck Driver Institute Inc.,6281fff9,341 FRANKLIN STREET - TUPELO MS 38802,MS,34.2617663,-88.6951893,WIOA-eligible,NA,Mississippi
Coding Clarified Llc,02c925dc,"6848 N GOVERNMENT WAY, COEUR D ALENE, ID, 83815",ID,47.73429,-116.7858656,WIOA-eligible,NA,Idaho
Montgomery Plumbers Jatc,0965cbb4,P.O. BOX 211105 MONTGOMERY AL 36121,AL,32.3989745,-86.2099778,Registered apprenticeship,NA,Alabama
Purdue University,a90d7b72,"YOUNG HALL, SOUTH GRANT STREET WEST LAFAYETTE ZA 47907",IN,40.4228144,-86.9106722,Registered apprenticeship,NA,Indiana
Mid-America Carpenters Regional Council Apprentice And Training Program Pekin Campus,c033a906,"904 BRENKMAN DR, PEKIN, IL, 61554",IL,40.5972186,-89.6324657,Registered apprenticeship,NA,Illinois
Ivy Tech Community College,571f1d44,3325 IN-3  NEW CASTLE IN 47362,IN,39.9777021,-85.3908823,WIOA-eligible,NA,Indiana
Hilltop Beauty School,df62c29b,"6317 MISSION ST, DALY CITY, CA, 94014",CA,37.7054748,-122.4613861,Higher education institution,Highest degree certificate,California
At Home Group Inc,91ab0aa9,PO BOX 40561 SAINT PAUL MN 55104-8561,MN,44.9537029,-93.0899578,Non-profit organization,Job training non-profit,Minnesota
Manufacturing Education Employment Advancement Inc,d8f28178,"259 EBERL ST, SAINT MARYS, PA, 15857",PA,41.4215233,-78.5659077,Non-profit organization,Job training non-profit,Pennsylvania
Project Wish Llc,38e6527e,"2306 AUSTIN HWY, SAN ANTONIO, TX, 78218",TX,29.5070682,-98.4116333,Non-profit organization,Job training non-profit,Texas
Successful Handyman Training And Repair School,3a488829,"337 SUCCESSFUL WAY, SPARTANBURG, SC, 29303",SC,34.9950992,-81.9167768,Non-profit organization,Job training non-profit,South Carolina
National Association Of Letter Carriers Branch 6202,977ec897,PO BOX 810 ASPEN CO 81612-0810,CO,39.1942153,-106.8209133,Non-profit organization,Job training non-profit,Colorado
Beauty Careers Training Center,ef3ad7bc,"864 JOHN SIMS PKWY, NICEVILLE, FL, 32578",FL,30.5189259,-86.4751068,WIOA-eligible,NA,Florida
Mercer County Community College,987c4433,1200 OLD ROAD 08690 TRENTON NJ 8690,NJ,40.2276834,-74.6576091,WIOA-eligible,NA,New Jersey
Penn Commercial Business/Technical School,07f90695,"242 OAK SPRING RD, WASHINGTON, PA, 15301",PA,40.1825221,-80.2373593,Higher education institution,NA,Pennsylvania
Find My Place,6728054c,"5838 S ARCHER AVE, CHICAGO, IL, 60638",IL,41.7962063,-87.7601612,Non-profit organization,Job training non-profit,Illinois
Code 9 Project Inc,dccdd59a,"7901 4TH ST N, SAINT PETERSBURG, FL, 33702",FL,27.8443311,-82.6381356,Non-profit organization,Job training non-profit,Florida
Social Equity Career Enhancement Inc,f288f186,802 TILTON RD STE 202 NORTHFIELD NJ 08225-1200,NJ,39.3804888,-74.5553062,Non-profit organization,Job training non-profit,New Jersey
Dream Mentorship,33efe035,PO BOX 1935 AUBURN AL 36831-1935,AL,32.52,-85.48,Non-profit organization,Job training non-profit,Alabama
Saint Louis Community College,7a986cb5,3221 MCKELVEY ROAD BRIDGETON MO 63044,MO,38.7456585,-90.4371196,Higher education institution,NA,Missouri
Yorkonnection,bf3d72ae,"1570 BRENTWOOD DR, TROY, MI, 48098",MI,42.5946035,-83.1810353,Non-profit organization,Job training non-profit,Michigan
Roadmaster Drivers School Of Kansas City,a82d4bfd,11903 RD  GRANDVIEW MO 64030,MO,38.8895526,-94.5315029,WIOA-eligible,NA,Missouri
Maine School Of Masonry,f030f65f,"637 RANGELY RD, PHILLIPS, ME, 04966",ME,44.84441,-70.37827,WIOA-eligible,NA,Maine
Amtac Inc,da4b6545,"10260 MACARTHUR, OAKLAND, CA, 94605",CA,37.744532,-122.1536616,Non-profit organization,Job training non-profit,California
Womens Institute Of Torah Seminary For Girls Inc,0aa9423b,"6602 PARK HEIGHTS AVE, BALTIMORE, MD, 21215",MD,39.3612561,-76.6993544,Non-profit organization,NA,Maryland
Raptor Sports School Incorporated,97f352cd,"15 BLEACH AVE, WEST WARWICK, RI, 02893",RI,41.6928467,-71.5274067,Non-profit organization,Job training non-profit,Rhode Island
Gadsden Technical Institute,6820033c,"201 MARTIN LUTHER KING BLVD, QUINCY, FL, 32351",FL,30.5776086,-84.5789211,Higher education institution,Highest degree certificate,Florida
Suny Westchester Community College,5a05e73f,"75 GRASSLANDS RD, VALHALLA, NY, 10595",NY,41.067482,-73.7894285,Higher education institution,NA,New York
College Of Eastern Idaho,c6594ebb,"1600 S 25TH E, IDAHO FALLS, ID, 83404",ID,43.4860037,-111.9871378,Multiple types,NA,Idaho
Farmer John Inc,91bd7713,"1541 LOWER STATE RD, DOYLESTOWN, PA, 18901",PA,40.2737272,-75.1602826,Non-profit organization,Job training non-profit,Pennsylvania
Austin Iron Workers Local 482 Jatc,a708cb0c,"2201 RIVERSIDE FARMS RD, AUSTIN, TX, 78741",TX,30.2274147,-97.7149048,Registered apprenticeship,NA,Texas
East Texas Electrical Jatc,7a642466,"2401 AVE J, ARLINGTON, TX, 76006",TX,32.7679578,-97.067442,Registered apprenticeship,NA,Texas
Valencia College,a22c4699,"1768 PARK CENTER DR, ORLANDO, FL, 32835",FL,28.5208095,-81.471373,Higher education institution,Highest degree bachelor’s+,Florida
Globe Institute Of Recording And Production,bd409efb,"110 CALEDONIA ST, SAUSALITO, CA, 94965",CA,37.8590676,-122.4857089,WIOA-eligible,NA,California
"Cement Masons Jatc, Columbus",3bd8b0b5,"936 SLOCUM ST, LANCASTER, OH, 43130",OH,39.7253893,-82.6122539,Registered apprenticeship,NA,Ohio
Carolina Steam Punk Inc,02c000d3,"421 HARVEST MOON LN, ROCK HILL, SC, 29732",SC,34.9405581,-81.1264378,Non-profit organization,Job training non-profit,South Carolina
Connecticut School Of Broadcasting,91826465,"760 US HWY 1, NORTH PALM BEACH, FL, 33408",FL,26.8203151,-80.0583277,WIOA-eligible,NA,Florida
Agb Institute,b5fd30ee,"7545 S WESTERN AVE, CHICAGO, IL, 60620",IL,41.7564061,-87.6822272,WIOA-eligible,NA,Illinois
Panache Academy Of Beauty,b95a758d,1120 ZAP DRIVE BARABOO WI 53913-2596,WI,43.5762358,-89.7804719,Higher education institution,Highest degree certificate,Wisconsin
Cuyahoga Community College District,b5dac1ff,"700 CARNEGIE AVE, CLEVELAND, OH, 44115",OH,41.4948929,-81.6835848,Higher education institution,NA,Ohio
Delores Homes Training Center,bd83af9e,7735 WASHINGTON AVE STE E KANSAS CITY KS 66112-2444,KS,39.1182846,-94.759573,Non-profit organization,Job training non-profit,Kansas
Los Medanos College,f7801a42,"2700 E LELAND RD, PITTSBURG, CA, 94565",CA,38.0053337,-121.8605006,Multiple types,NA,California
Mystros Barber Academy,30adb620,1434 STE. B CYPRESS CREEK PARKWAY HOUSTON TX 77090-3300,TX,29.9840538,-95.5051775,Higher education institution,Highest degree certificate,Texas
Glitz School Of Cosmetology,fcb16b18,"2460 MISSOURI AVE, LAS CRUCES, NM, 88001",NM,32.298288,-106.7431724,Higher education institution,Highest degree certificate,New Mexico
"Cna School Of Longview, Inc",c75db9b7,"5612 OCEAN BEACH HWY, LONGVIEW, WA, 98632",WA,46.1720735,-123.0153225,WIOA-eligible,NA,Washington
Healthcare Training Institute,f615e694,"322 WILLIAMS BLVD, KENNER, LA, 70062",LA,29.9740839,-90.2460579,Higher education institution,Highest degree certificate,Louisiana
Veteran Transition Mission Inc,81dae253,"1548 KINTLA RD, APOPKA, FL, 32712",FL,28.7175624,-81.5348938,Non-profit organization,Job training non-profit,Florida
Triangle Tech Inc,8bea2a14,225 TANNERY ROW RD  FALLS CREEK PA 15840,PA,41.14672,-78.795345,WIOA-eligible,NA,Pennsylvania
North Cross Commercial Driving School Llc,c640fa11,"351 PEASE RD., BURLINGTON, ARLINGTON WA 98223",WA,48.1987118,-122.1251418,WIOA-eligible,NA,Washington
Iowa School Of Beauty-Des Moines,6b877fe2,"3305 70TH ST, DES MOINES, IA, 50322",IA,41.624764,-93.7118995,Higher education institution,Highest degree certificate,Iowa
Stanislaus County Area Mfing And Maintenance Apprenticeship Committ,6560bbc0,"435 COLLEGE AVE, MODESTO, CA, 95350",CA,37.6502691,-121.0087363,Non-profit organization,Job training non-profit,California
Commercial Driver Training Inc,8d222d14,260 PLAZA RD  KINGSTON KINGSTON NY 12401,NY,41.9375806,-74.0178249,WIOA-eligible,NA,New York
Rochester Tai Chi Chuan Center Inc,036c1558,"595 BLOSSOM RD, ROCHESTER, NY, 14610",NY,43.1493094,-77.5556437,Non-profit organization,Job training non-profit,New York
Ranger College,c8304067,"1100 COLLEGE CIR, RANGER, TX, 76470",TX,32.4575482,-98.6827944,Multiple types,NA,Texas
American Truck Training,8167d6ff,3200 ALUMA DRIVE OKLAHOMA CITY OK 73121,OK,35.5333923,-97.4503156,WIOA-eligible,NA,Oklahoma
Chips Workforce Alliance,e6c1c0c1,"3169 PRINCETON RD, HAMILTON, OH, 45011",OH,39.3896539,-84.5099928,Non-profit organization,Job training non-profit,Ohio
Lehigh Carbon Community College,ecf13ebf,4525 EDUCATION PARK DR SCHNECKSVILLE PA 18078-2598,PA,40.6638381,-75.612015,Higher education institution,NA,Pennsylvania
Cascadia College,3a6762b3,"18345 CAMPUS WAY,, WA BOTHELL NE 98011",NE,47.7598497,-122.1918516,WIOA-eligible,NA,Nebraska
International Training Careers,c999da19,7360 SW 24TH STREET  SUITE 31 MIAMI FL 33155,FL,25.7468476,-80.3147821,Higher education institution,Highest degree certificate,Florida
Coquille Education Association,e455371e,PO BOX 93 COQUILLE OR 97423-0093,OR,43.1770544,-124.1876075,Non-profit organization,Job training non-profit,Oregon
Jose Maria Vargas University,2d81b21f,"10131 PINES BLVD, PEMBROKE PINES, FL, 33026",FL,26.0096612,-80.2812073,Higher education institution,Highest degree bachelor’s+,Florida
Home Builders Institute,40dfe48d,"1929 N STONE AVE, TUCSON, AZ, 85705",AZ,32.2457215,-110.972372,WIOA-eligible,NA,Arizona
Indiana Region 9 Workforce Board,d3ff8703,"500 INDUSTRIAL DR, LAWRENCEBURG, IN, 47025",IN,39.1122959,-84.8762741,Registered apprenticeship,NA,Indiana
Southwestern College,f3859a05,"900 OTAY LAKES RD, CHULA VISTA, CA, 91910",CA,32.6427876,-116.9992869,Higher education institution,NA,California
Hussmann Services Corporation,eb6d7059,"""10 INDUSTRIAL WAY"" SALEM MA 3079",MA,42.7781698,-71.256664,Registered apprenticeship,NA,Massachusetts
International Beauty College,bae88e3c,"1225 BELT LINE RD, GARLAND, TX, 75040",TX,32.9456782,-96.6453056,Higher education institution,Highest degree certificate,Texas
Allied Skills Training Center,e791be34,"2045 LES MAULDIN RD, BROWNSVILLE, TX, 78521",TX,25.9100633,-97.4345863,WIOA-eligible,NA,Texas
Georgia Career Institute,f7948093,"900 FLAT SHOALS RD SE, CONYERS, GA, 30094",GA,33.6434072,-84.0184758,Higher education institution,Highest degree certificate,Georgia
Ms Kelli's School Of Cosmetology,2d6ceb5a,"4157 GEORGE WASHINGTON MEMORIAL HWY, HAYES, VA, 23072",VA,37.3212907,-76.5132859,WIOA-eligible,NA,Virginia
Skyline College,1e08ed2f,"3300 COLLEGE DR, SAN BRUNO, CA, 94066",CA,37.6300916,-122.4661615,Higher education institution,NA,California
Ohio Institute Of Allied Health Inc,a3037c58,1100 COURTHOUSE PLZ DAYTON OH 45402-1109,OH,39.7574433,-84.2094347,Non-profit organization,Job training non-profit,Ohio
Training For Success From The Street To The Seat,655d5ec8,"916 LAMOND AVE, DURHAM, NC, 27701",NC,36.0024888,-78.908712,Non-profit organization,Job training non-profit,North Carolina
Career Quest Learning Centers-Lansing,43f9ccfa,"3215 S PENNSYLVANIA AVE, LANSING, MI, 48910",MI,42.6990957,-84.537147,Higher education institution,NA,Michigan
Teamsters Local 251 Driving School,7a9879c9,"121 BRIGHTRIDGE AVE, E PROVIDENCE, RI, 02914",RI,41.8084389,-71.3651382,WIOA-eligible,NA,Rhode Island
"Rapid Eye Technology, Inc. Dba Rapid Eye Institute",3ce419b5,"3748 74TH AVE SE, SALEM, OR, 97317",OR,44.8950128,-122.907815,WIOA-eligible,NA,Oregon
Ron West Barber College Llc,7229b8a2,"3303 N DIXIE DR, DAYTON, OH, 45414",OH,39.795468,-84.192355,WIOA-eligible,NA,Ohio
Operation Tango Yankee Inc,8861200,"6367 HILLGALE LN, FAIRFIELD TOWNSHIP, OH, 45011",OH,39.3984976,-84.4790923,Non-profit organization,Job training non-profit,Ohio
Evergreen Beauty And Barber College/Shoreline,d284d77b,"18336 AURORA AVE N STE 103, SHORELINE, EVERETT WA 98208",WA,47.7619369,-122.3444997,WIOA-eligible,NA,Washington
Pioneer Career And Technology Center,ee0e644d,"27 RYAN RD, SHELBY, OH, 44875",OH,40.9031266,-82.6707907,Multiple types,Highest degree certificate,Ohio
Emergency Medical Teaching Services~ Inc.,8db26955,"201 OAK ST, PEMBROKE, MA, 02359",MA,42.1023631,-70.7637731,WIOA-eligible,NA,Massachusetts
Ibs School Of Cosmetology And Massage,c523617e,"110 E KAAHUMANU AVE, KAHULUI, HI, 96732",HI,20.8928606,-156.4629097,Higher education institution,Highest degree certificate,Hawaii
Hi Plasterers Local 630,b33f83a9,"2251 N SCHOOL ST, HONOLULU, HI, 96819",HI,21.3406524,-157.8750957,Registered apprenticeship,NA,Hawaii
Adapting,b214f79e,PO BOX 777 UMATILLA OR 97882-0777,OR,45.9173549,-119.3425179,Non-profit organization,Job training non-profit,Oregon
Southern Careers Institute-Pharr,06ad8617,"1500 N JACKSON RD, PHARR, TX, 78577",TX,26.2111943,-98.2010423,Higher education institution,Highest degree certificate,Texas
Roadmaster Drivers School Of Jacksonville,ee28c275,1409 PICKETVILLE ROAD  JACKSONVILLE FL 32220,FL,30.3406806,-81.7619082,WIOA-eligible,NA,Florida
